path	bytes	sha256	width	height	format
previews/assets_preview_all.png	2807531	e315dd05b01c61a84e59f2076cbbfabdd47d016dce4223b12a077eb8e90ff306	2048	2240	PNG
previews/ships_overview.png	794087	89b582eab50e71091ecb20a0334058ed5994c28feddcf2f021c8c7c6ee67dfd8	1950	552	PNG
territories/industry-terrain.png	2791019	1efb4f6113d77272008c157e136319ae845493f53128fc0530fbd8f571bd2bbb	1672	941	PNG
territories/military-terrain.png	2884510	18600c75c672844f227cf894c73a4a1ae2f5c203c0e99ecfbbb9fbed83a4f4e3	1672	941	PNG
territories/resource-terrain.png	3494229	df81b795802151ed70ed694d8a4b294fc5d49fca5ee638a66e510562ec1e53e1	1672	941	PNG
ui/aegis_active_tab.png	101250	2101571e0d3e3fb3d65ebe8c9e9970d0d6cc8ba34dc65ffd2ea7dab4699e3659	768	192	PNG
ui/aegis_panel_frame.png	605711	3a4c0f05dd0f4e619ab756877e66515aad6d8da04e52f84021e43ece157bef2d	1024	1024	PNG
ui/aegis_primary_button.png	206823	8923abe662b9b1eace4d3543caccdfeb51b198fcc0f991f00c7973842f4153f8	768	256	PNG
ui/synod_active_tab.png	98551	c86fea33094d716a4360cd56ae97324aa0e955ed71cc646f362f006ee43a1aea	768	192	PNG
ui/synod_panel_frame.png	725070	057f3ee523ed8b514ea34f585feeacf91ebb4f8b487dc4ee6217f54af3fba1c4	1024	1024	PNG
ui/synod_primary_button.png	205558	d4c4dc57b17cdb5235de174d017411ecf2c758b1da5f8e5481c9d247222a3f0b	768	256	PNG
ui/veyra_active_tab.png	135268	82a5a24aed451b54e944c8f71bfc94f7f275ab0a46688b446749297eb394f49b	768	192	PNG
ui/veyra_panel_frame.png	1160722	4e790a2644c67b1f776307801ff65ee84c941be09f700203ac4a634b9da0b7b1	1024	1024	PNG
ui/veyra_primary_button.png	241393	6502edc8d2f82cfbfe62179bcfa88f072715c5a199a4462703b27a52a21c1c8a	768	256	PNG
PACKAGE_NOTES.md	4883	0eb9d6da03d80f6040389c18ded731debcaeea11019dac67caeea3246e776182			
